model,repeat,arm,tp,fp,fn,evaluated,nonempty_reference,reference_pair_count,recall,precision,f1
openai/gpt-oss-20b,2,baseline,205,135,127,361,241,332,0.6174698795180723,0.6029411764705882,0.6101190476190477
openai/gpt-oss-20b,2,additive_verbs,216,186,116,361,241,332,0.6506024096385542,0.5373134328358209,0.5885558583106267
openai/gpt-oss-20b,2,all_verbs,206,134,126,361,241,332,0.6204819277108434,0.6058823529411764,0.6130952380952381
openai/gpt-oss-20b,2,context_pos,210,130,122,361,241,332,0.6325301204819277,0.6176470588235294,0.625
openai/gpt-oss-20b,2,additive_pos,217,168,115,361,241,332,0.6536144578313253,0.5636363636363636,0.6052998605299861
openai/gpt-oss-20b,3,baseline,216,138,123,362,246,339,0.6371681415929203,0.6101694915254238,0.6233766233766234
openai/gpt-oss-20b,3,additive_verbs,226,190,113,362,246,339,0.6666666666666666,0.5432692307692307,0.5986754966887418
openai/gpt-oss-20b,3,all_verbs,213,141,126,362,246,339,0.6283185840707964,0.6016949152542372,0.6147186147186147
openai/gpt-oss-20b,3,context_pos,217,137,122,362,246,339,0.640117994100295,0.6129943502824858,0.6262626262626263
openai/gpt-oss-20b,3,additive_pos,227,171,112,362,246,339,0.6696165191740413,0.5703517587939698,0.6160108548168249
openai/gpt-oss-20b,4,baseline,204,141,128,361,242,332,0.6144578313253012,0.591304347826087,0.6026587887740029
openai/gpt-oss-20b,4,additive_verbs,218,183,114,361,242,332,0.6566265060240963,0.543640897755611,0.5948158253751705
openai/gpt-oss-20b,4,all_verbs,208,137,124,361,242,332,0.6265060240963856,0.6028985507246377,0.6144756277695717
openai/gpt-oss-20b,4,context_pos,211,134,121,361,242,332,0.6355421686746988,0.6115942028985507,0.6233382570162481
openai/gpt-oss-20b,4,additive_pos,219,170,113,361,242,332,0.6596385542168675,0.5629820051413882,0.6074895977808599
openai/gpt-oss-20b,5,baseline,214,140,119,362,243,333,0.6426426426426426,0.6045197740112994,0.6229985443959243
openai/gpt-oss-20b,5,additive_verbs,225,194,108,362,243,333,0.6756756756756757,0.5369928400954654,0.598404255319149
openai/gpt-oss-20b,5,all_verbs,211,143,122,362,243,333,0.6336336336336337,0.596045197740113,0.6142649199417758
openai/gpt-oss-20b,5,context_pos,215,139,118,362,243,333,0.6456456456456456,0.6073446327683616,0.6259097525473072
openai/gpt-oss-20b,5,additive_pos,226,179,107,362,243,333,0.6786786786786787,0.5580246913580247,0.6124661246612466
